nodeid,nodetype,x,y,z,S11,S22,S33,S12,S13,S12,mises
113,1,-0.133090,-0.150809,0.105093,-85766.453857,-236850.093750,42598.145386,150240.520996,27673.561897,-15777.405136,477377.750000
114,1,-0.147444,-0.136808,0.105093,-62458.631999,-145909.960531,27637.828491,106714.853516,29148.188761,-10544.726420,374935.281250
115,1,-0.160334,-0.121448,0.105093,-16768.364288,-183500.861023,35508.030518,83973.016907,19170.648132,6297.107849,396503.000000
116,1,-0.171629,-0.104880,0.105093,8216.012085,-95683.876628,36208.065918,20687.276123,22045.984701,-827.209391,213108.218750
117,1,-0.181219,-0.087270,0.105093,-11629.987915,3254.457520,34670.663574,605.255859,18092.414429,-1260.511276,215241.406250
118,1,-0.189008,-0.068793,0.105093,-30842.779297,690.009277,36557.788086,31557.862061,3928.358154,15912.159866,157570.984375
119,1,-0.194918,-0.049632,0.105093,-36563.133301,-156109.086304,19414.753143,107951.384521,-4226.710709,25381.853516,193041.828125
120,1,-0.198891,-0.029978,0.105093,-10599.742188,-274261.651042,-15438.112671,122578.230469,158.627401,16929.642782,418481.500000
121,1,-0.200888,-0.010026,0.105093,35417.764023,-390901.613281,-20988.851715,100588.009521,-9631.745178,9053.999180,484704.093750
122,1,-0.200888,0.010026,0.105093,37238.337850,-437146.442708,-27513.782471,-54752.087891,653.508748,3413.952922,452064.156250
123,1,-0.198891,0.029978,0.105093,-1139.553101,-330051.530273,-11558.993164,-128874.570312,4897.694336,-11966.513512,430342.812500
124,1,-0.194918,0.049632,0.105093,-47216.881226,-140107.417725,28594.343536,-116206.674805,5744.818848,-18067.325623,303842.562500
125,1,-0.189008,0.068793,0.105093,-87000.833740,-81536.554810,20671.054688,-63169.252930,-1150.934601,-12465.589844,127515.117188
126,1,-0.181219,0.087270,0.105093,-21553.841187,-72275.672852,36617.855713,-22578.464355,8054.998535,-722.143646,199119.437500
127,1,-0.171629,0.104880,0.105093,5633.630371,-66955.812256,35269.829285,-16709.069183,16540.411301,177.877441,52550.382812
128,1,-0.160334,0.121448,0.105093,-12546.517090,-117765.448120,16370.892822,-57939.970795,5135.837822,-11225.852661,357965.968750
129,1,-0.147444,0.136808,0.105093,-50818.051880,-90241.482544,34211.856812,-83915.265381,12026.378059,-7333.967270,113893.539062
